Nombre del Resort,Rate,Estrellas,Km de Freeride,Continente,Pais,Estado,Altitud,Facil,Intermedio,Dificil,Total de kilometros,Precio,Moneda,Tamaño del resort de esqui,Variedad de pistas,Fiabilidad de la nieve,Orientacion de mapas,Limpieza e higiene,Apres-ski,Snow parks,Esqui de fondo y senderos,pais,latitude,longitude,ISO Code
KitzSki – Kitzbühel/Kirchberg,4.9,5.0,45.0,Europe,Austria,Tyrol (Tirol),2000.0,101.0,61.0,17.0,179,55.0,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,AT,47.516231,14.550072,AUT
Ischgl/Samnaun – Silvretta Arena,4.8,5.0,15.0,Europe,Austria,Tyrol (Tirol),2872.0,47.0,142.0,49.0,238,53.0,European Euro,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,AT,47.516231,14.550072,AUT
SkiWelt Wilder Kaiser-Brixental,4.8,5.0,26.0,Europe,Austria,Tyrol (Tirol),1957.0,122.0,129.0,33.0,284,49.0,European Euro,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,AT,47.516231,14.550072,AUT
St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,4.8,5.0,200.0,Europe,Austria,Tyrol (Tirol),2811.0,132.0,123.0,50.0,305,53.0,European Euro,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,AT,47.516231,14.550072,AUT
Serfaus-Fiss-Ladis,4.8,5.0,28.0,Europe,Austria,Tyrol (Tirol),2820.0,47.0,123.0,28.0,198,51.0,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,AT,47.516231,14.550072,AUT
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),4.7,5.0,0.0,Europe,Austria,Salzburg (Salzburger Land),2096.0,140.0,112.0,18.0,270,53.0,European Euro,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,AT,47.516231,14.550072,AUT
Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),4.7,5.0,3.6,Europe,Austria,Tyrol (Tirol),2378.0,28.7,41.3,13.0,83,52.5,European Euro,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,4.7,5.0,3.0,Europe,Austria,Tyrol (Tirol),2500.0,43.0,89.0,11.0,143,52.0,European Euro,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,AT,47.516231,14.550072,AUT
 Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),4.7,4.0,4.0,Europe,Austria,Styria (Steiermark),2015.0,46.4,68.3,8.3,122,51.5,European Euro,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,AT,47.516231,14.550072,AUT
Sölden,4.7,5.0,0.0,Europe,Austria,Tyrol (Tirol),3340.0,70.2,44.6,29.4,144,53.0,European Euro,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,AT,47.516231,14.550072,AUT
Silvretta Montafon,4.6,5.0,23.0,Europe,Austria,Vorarlberg,2430.0,60.0,45.0,8.0,113,52.5,European Euro,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,AT,47.516231,14.550072,AUT
Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm,4.6,5.0,8.7,Europe,Austria,Tyrol (Tirol),2500.0,40.0,63.0,33.0,136,52.0,European Euro,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,AT,47.516231,14.550072,AUT
 Obertauern,4.5,4.0,0.0,Europe,Austria,Salzburg (Salzburger Land),2313.0,61.0,35.0,4.0,100,45.5,European Euro,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,AT,47.516231,14.550072,AUT
Gurgl – Obergurgl-Hochgurgl,4.5,5.0,4.5,Europe,Austria,Tyrol (Tirol),3082.0,35.0,55.0,20.0,110,52.0,European Euro,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
 Hochkönig – Maria Alm/Dienten/Mühlbach,4.5,4.0,8.0,Europe,Austria,Salzburg (Salzburger Land),1900.0,52.0,41.0,19.0,112,51.5,European Euro,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,AT,47.516231,14.550072,AUT
. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,4.5,3.0,5.0,Europe,Austria,Salzburg (Salzburger Land),1980.0,30.0,81.0,4.0,115,51.5,European Euro,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,AT,47.516231,14.550072,AUT
Schmittenhöhe – Zell am See,4.4,5.0,8.0,Europe,Austria,Salzburg (Salzburger Land),2000.0,30.0,28.0,19.0,77,51.0,European Euro,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
 Wildkogel – Neukirchen/Bramberg,4.4,4.0,2.0,Europe,Austria,Salzburg (Salzburger Land),2150.0,29.0,25.0,10.0,64,45.0,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,AT,47.516231,14.550072,AUT
Kitzsteinhorn/Maiskogel – Kaprun,4.4,5.0,0.5,Europe,Austria,Salzburg (Salzburger Land),3029.0,13.0,25.0,3.0,41,51.0,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,AT,47.516231,14.550072,AUT
 Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,4.4,4.0,1.3,Europe,Austria,Salzburg (Salzburger Land),2300.0,30.6,52.8,2.6,86,52.0,European Euro,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,AT,47.516231,14.550072,AUT
 Katschberg,4.3,4.0,2.0,Europe,Austria,Carinthia (Karnten),2220.0,10.0,50.0,10.0,70,45.5,European Euro,3.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,AT,47.516231,14.550072,AUT
. Turracher Höhe,4.3,3.0,1.0,Europe,Austria,Carinthia (Karnten),2205.0,14.0,24.5,3.5,42,46.0,European Euro,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,AT,47.516231,14.550072,AUT
